,tarih,city,city2,title,content
0,10:50,adana,Adana,Adana'da Silahlı Saldırı: 4 Zanlı Tutuklandı,  Çukurova'daki silahlı saldırıyla ilgili 4 zanlı yakalanıp tutuklandı. 500 bin dolar haraç istediler.  
1,10:39,adana,Adana,Galericiye Haraç İçin Silahlı Saldırı,"  Adana'da, galericiden 500 bin dolar haraç isteyen 4 şüpheli tutuklandı. Saldırı anı kamerada.  "
2,12:15,adana,Adana,"Zeydan Karalar, Anıtkabir'e giderken kar yağışı nedeniyle yolda kaldı","  Öğretmenler Günü dolayısıyla CHP lideri Özgür Özel'in çağrısıyla Anıtkabir'e gitmek üzere yola çıkan Adana Büyükşehir Belediye Başkanı Zeydan Karalar, kar yağışı nedeniyle yolda kaldı. Sosyal medyadan sitemkar paylaşımda bulunan Karalar, ""Çukurova Havalimanı'nda en ufak bir rüzgarda uçuş yok. 2 saattir yoldayız. Karayollarının yolu açmasını bekliyoruz."" dedi.  "
3,10:28,adana,Adana,Adana'nın Yüksek Kesimlerine Kar Yağdı,"  Adana'nın yüksek kesimlerinde kar yağışı başladı, vatandaşlar bu anları kaydetti.  "
4,23.11.2024,adana,Adana,Adana'da Uyuşturucu Partisi Operasyonu,  Adana'da düzenlenen uyuşturucu partisinde 6 kişi yakalanarak çeşitli uyuşturucu maddeler ele geçirildi.  
5,22.11.2024,adana,Adana,Adana'da Gümrük Kaçağı Sigara Operasyonu,"  Seyhan'da yapılan operasyonda 8.770 paket gümrük kaçağı sigara ele geçirildi, 1 kişi gözaltına alındı.  "
6,20.11.2024,adana,Adana,Adana'da Molotoflu Saldırı: 3 Şüpheli Yakalandı,  Adana'da diş kliniği ve oto tamirciye molotofkokteyli ile saldırı düzenleyen 3 kişi tutuklandı.  
7,20.11.2024,adana,Adana,Uyuşturucu Tüccarı Yakalandı,"  Adana'da, 21 yıl cezası olan Şahin K., sahte kimlikle yakalanarak uyuşturucu ile sevk edildi.  "
8,19.11.2024,adana,Adana,Adana'da Silah Operasyonu: 6 Silah ve 82 Mermi Ele Geçirildi,  Kasten yaralama kaydı bulunan şüphelinin evinde yapılan baskında 6 ruhsatsız silah ve 82 mermi bulundu.  
9,18.11.2024,adana,Adana,"Para almak için gelin arabasının kaputuna asıldı, damat ve düğün sahiplerince darbedildi","  Adana'nın Yüreğir ilçesinde para almak amacıyla gelin arabasının kaputuna çıkan bir kişi, damat ve düğün sahipleri tarafından darbedildi. Olay anı bir vatandaş tarafından cep telefonu ile kaydedildi.  "
10,18.11.2024,adana,Adana,Adana Büyükşehir Belediyesi'ne Rüşvet İddiası: Dava Devam Ediyor,"  Adana Büyükşehir Belediyesi'nin reklam ihalesi ile ilgili 'fesat karıştırdıkları ve rüşvet aldıkları' iddiaları üzerine açılan davada 12 sanığın yargılanması sürüyor. Duruşmada, bazı sanıkların tahliyesine adli kontrol şartıyla karar verildi.  "
11,18.11.2024,adana,Adana,Yol Parası Olmayan İki Arkadaş Motosiklet Çaldı,"  Adana'da AMATEM'e gitmek için yol parası olmayan iki arkadaş, bir motosikleti çalarak kaçtı. Güvenlik kameralarına yansıyan olayda, şüpheliler yakalanıp tutuklandı.  "
12,16.11.2024,adana,Adana,Adana'da Kafe Kavgası: Bir Kişi Bıçakla Öldürüldü,  Dik dik bakma nedeniyle tartıştığı kişiyi bıçakla öldüren şüpheli tutuklandı.  
13,15.11.2024,adana,Adana,Adana'da Kaza: Aile Makas Atan Sürücüyü Arıyor,"  Adana'da kaza geçiren güvenlik görevlisinin ailesi, makas atan otomobilin sorumlu olduğunu savunuyor.  "
14,15.11.2024,adana,Adana,Cezaevindeki şahsın evinde bulunan köpek kulübesinden el bombası çıktı,"  Adana'da cezaevinde olduğu belirlenen Orhan B.'nin evine düzenlenen operasyonda yatakların altına gizlenmiş 2 ruhsatsız av tüfeği, bahçedeki köpek kulübesinde ise el bombası ele geçirildi. Orhan B.'nin annesi Aysel B. ile yeğeni Arda A. gözaltına alındı.  "
15,14.11.2024,adana,Adana,Adana'da Dev Suç Operasyonu: 207 Tutuklandı,"  Kuyu-37 operasyonunda 16 ilde 286 suçlu yakalandı, 207'si tutuklandı, silah ve uyuşturucu ele geçirildi.  "
16,14.11.2024,adana,Adana,Adana'da Yayanın Ölümcül Kazası,"  Yaya geçidinde otomobilin çarptığı anne ve oğlu ağır yaralandı, tedavi altında.  "
17,14.11.2024,adana,Adana,Adana'da çocuk haklarına dikkati çekmek amacıyla yürüyüş düzenlendi,  Adana'da 20 Kasım Dünya Çocuk Hakları Günü etkinlikleri kapsamında yürüyüş düzenlendi.  
18,14.11.2024,adana,Adana,Kuzen cinayeti kamerada,  Kuzen cinayeti kamerada Adana'nın İmamoğlu ilçesinde bir kişinin tabancayla kuzeni tarafından öldürülmesinin görüntüleri ortaya çıktı.  
19,14.11.2024,adana,Adana,"Adana'da Üst Geçidi Kullanmadı, Hayatını Kaybetti","  Veli Efeoğlu, üst geçidi kullanmayarak yola çıktığında otomobilin çarpması sonucu hayatını kaybetti.  "
20,14.11.2024,adana,Adana,Adana'da Telefon Hırsızlığı: Şahıs Tutuklandı,"  Mustafa A., adres sorma bahanesiyle yaşlı bir kadının telefonunu çalıp yakalandı ve tutuklandı.  "
21,13.11.2024,adana,Adana,Adana'da Kaza: Araç Refüjdeki Ağaçlara Çarptı,  Adana'da direksiyon hakimiyetini kaybeden sürücünün aracı devrildi; yaralılar hastaneye kaldırıldı.  
22,13.11.2024,adana,Adana,Adana'da kuraklık had safhada,"  Türkiye'nin en sıcak illerinden Adana'da Seyhan Baraj Gölü'nde su, kıyıdan yaklaşık 2 kilometre çekildi. Çukurova'daki kuraklık tehlikesi dron ile havadan da görüntülenirken uzmanlar deniz suyunun ısındığına ve meteorolojik afetlerin arttığına dikkat çekiyor.  "
23,13.11.2024,adana,Adana,KUYU-37 Operasyonu: 282 Şüpheli Gözaltında,"  Adana merkezli operasyonda 9'u kadın 282 şüpheli, organize suç örgütüyle bağlantılı olarak yakalandı.  "
24,12.11.2024,adana,Adana,"Adana'da Yaya Üst Geçidini Kullanmadı, Hayatını Kaybetti","  74 yaşındaki adam, yaya üst geçidini kullanmayarak karşıya geçmeye çalışırken otomobilin çarpmasıyla öldü.  "
25,12.11.2024,adana,Adana,Adana'da 53 Kilogram Esrar Ele Geçirildi,"  Adana'da tırın lastiklerine gizlenmiş 53 kg esrar bulundu, sürücü tutuklandı.  "
26,09.11.2024,adana,Adana,Taksici Kavgasında 3 Yaralı,"  Adana'da müşteri sırası nedeniyle çıkan tartışmada bir taksici, 3 kişiyi pompalı tüfekle yaraladı.  "
27,09.11.2024,adana,Adana,Taksi Şoföründen Pompalı Tüfekli Saldırı,"  Adana'da bir taksi şoförü, yolcu anlaşmazlığı sonrası rakip şoförü ve akrabalarını vurdu.  "
28,08.11.2024,adana,Adana,Adana'da Ev Kurşunlama Anı Kamerada,"  Kapüşonlu iki şahıs bir evi tabanca ile kurşunlayıp kaçtı, anlar güvenlik kamerasına yansıdı.  "
29,08.11.2024,adana,Adana,Adana'da Ev Kurşunlama Anları Kamerada,"  Kapüşonlu 2 kişi, evin önüne gelerek tabanca ile ateş etti, diğerinin görüntü alması güvenlik kamerasında.  "
30,08.11.2024,adana,Adana,Ayşe B.'yi Vuran Ali Avcı Tutuklandı,"  Ali Avcı, barışma teklifini reddeden Ayşe B.'yi av tüfeğiyle yaraladı ve tutuklandı.  "
31,08.11.2024,adana,Adana,Adana'da Vahşi Silahlı Saldırı,"  Adana'da bir kişi, fırıncı ve bir vatandaşı vurup kaçtı. Saldırı anı güvenlik kamerasına yansıdı.  "
32,08.11.2024,adana,Adana,Adana'da Hırsızlık: 150 Bin Liralık İçki ve Sigara Çalındı,"  Kapüşonlu hırsız, Adana'da bir tekel bayisinden 150 bin lira değerinde ürün çalıp yakalandı.  "
33,08.11.2024,adana,Adana,Adana'da Tekel Bayi Soygunu,"  Kapüşonlu şüpheli, tekel bayiden 150 bin TL değerinde içki ve sigara çaldı, tutuklandı.  "
34,07.11.2024,adana,Adana,Kozan'da Barışma Reddine Silahlı Saldırı,"  Ali A., barışma teklifi reddedilen Ayşe B.'yi av tüfeğiyle vurdu, polis soruşturma başlattı.  "
35,07.11.2024,adana,Adana,Adana'da Aşk Cinayeti: Vurulan Kadın Hastanede,"  Ali A., barışma teklifini reddeden Ayşe B.'yi av tüfeğiyle vurdu. Polis saldırgana ulaşmaya çalışıyor.  "
36,07.11.2024,adana,Adana,Kozan'da Sokak Ortasında Silahlı Saldırı,"  Dini nikahlı eşini pompalı tüfekle vuran Ali A. yakalandı, Ayşe B. hastaneye kaldırıldı.  "
37,07.11.2024,adana,Adana,Kozan'da Park Halindeki Araba Yandı,  Adana'nın Kozan ilçesinde park halindeki otomobil yanarak kullanılamaz hale geldi. Yangın inceleniyor.  
38,06.11.2024,adana,Adana,Şehit Deniz Teğmen Mustafa Kemal Öz için Cenaze Töreni,"  İstanbul'da eğitim sırasında kaza geçiren ve şehit olan Deniz Teğmen Mustafa Kemal Öz için Adana'nın Pozantı ilçesinde cenaze namazı kılındı. 26 yaşındaki teğmenin naaşı, cenaze namazının ardından Niğde'nin Ulukışla ilçesine bağlı Çiftehan köyünde defnedilmek üzere götürüldü. Cenazeye askeri ve mülki erkan ile ailesi katıldı.  "
39,06.11.2024,adana,Adana,Adana'da Uyuşturucu Operasyonu: Zanlı Tutuklandı,"  Adana'da düzenlenen operasyonda 1.9 kg kokain ve 12.992 hap ele geçirildi, bir kişi tutuklandı.  "
40,06.11.2024,adana,Adana,Adana'da 245 Bin Kilo Uyuşturucu Ele Geçirildi,  Adana'da narkotik polisleri bir ayda 245 bin kilo uyuşturucu madde ve 501 bin hap ele geçirdi.  
41,06.11.2024,adana,Adana,Adana'da Uyuşturucu Operasyonu,"  Seyhan'da yapılan operasyonda 1.9 kg kokain ve 12 bin uyuşturucu hap ele geçirildi, 1 kişi gözaltında.  "
42,06.11.2024,adana,Adana,Adana'da 4 bin uyuşturucu hap ele geçirildi,"  Adana'da jandarma, bir evde 4 bin 90 uyuşturucu hap buldu, 1 kişi gözaltına alındı.  "
43,05.11.2024,adana,Adana,Adana'da Cinayet ve İntihar,"  Eski sevgilisini vuran polis memuru, hastanede hayatını kaybetti.  "
44,05.11.2024,adana,Adana,Adana'da Polis Sevgilisini Öldürdü,"  Sevgilisini öldüren polis memuru, 2 gün sonra intihar girişiminden hayatını kaybetti.  "
45,05.11.2024,adana,Adana,"Adana'da Uyuşturucu Operasyonu: 43 Gözaltı, 32 Tutuklama","  Adana'da yapılan uyuşturucu operasyonlarında 42 bin 200 hap ve 1,977 kg kokain ele geçirildi.  "
46,05.11.2024,adana,Adana,Karamanda Komiserin Ölüm Dosyası Yeniden Açıldı,"  Adanalı komiserin intihar olarak kayıtlara geçen ölümü, yalancı şahirlik iddiasıyla yeniden incelenecek.  "
47,04.11.2024,adana,Adana,Uzun namlulu silahlarla saldırı planlayan iki kişi son anda yakalandı,  Adana'da motosikletli polislerin dur ihtarına uymayan iki kişi yaşanan kovalamacanın ardından yakalandı. Üzerinden uzun namlulu silahlar ele geçirilen şüphelilerin saldırı hazırlığında olduğu belirtildi.  
48,04.11.2024,adana,Adana,Kozan'da Havaya Ateş Açan Şüpheli Yakalandı,"  Adana'nın Kozan ilçesinde gece sokakta havaya ateş açan M.K. gözaltına alındı, inceleme sürüyor.  "
49,04.11.2024,adana,Adana,Ambulansa Saldırı Anları Kamerada,  Adana'da bir şahıs ambulansın camını yumruklayarak sağlık çalışanlarına saldırmaya çalıştı.  
50,02.11.2024,adana,Adana,2024 Akdeniz Off-road Kupası Start Aldı,  TOSFED tarafından Adana'da düzenlenen off-road kupası için seremonik start verildi.  
51,02.11.2024,adana,Adana,"Adana'da Silahlı Saldırı: 1 Yaralı, 5 Tutuklama","  Ersin A. ve Mustafa Ö., inşaat şirketine saldırarak haraç istemeye çalıştı; 5 kişi tutuklandı.  "
