,tarih,city,city2,title,content,suc_turu
9,2020-02-20 00:00:00,acıgöl,nevşehir,"Öğretmenler ""Kadına yönelik şiddete"" dikkat çekmek için kısa film çekti","  Nevşehir'in Acıgöl ilçesinde Rehber Öğretmenler tarafından ""Acıgöl halkı şiddete karşı tek yürek"" kısa filmi çekildi.  ",Şiddet Suçları
13,2020-10-22 00:00:00,acıgöl,nevşehir,"Nevşehir'de feci kaza: 1 ölü, 2 yaralı",  Nevşehir'in Acıgöl ilçesinde meydana gelen trafik kazasında aracın şarampole yuvarlanması sonucu 1 kişi hayatını kaybederken 2 kişi de yaralandı.  ,Şiddet Suçları
15,2019-09-27 00:00:00,acıgöl,nevşehir,Kamyonun altında kalan sürücü feci şekilde can verdi,"  Nevşehir'in Acıgöl ilçesine bağlı Topaç köyünde freni boşalan kamyonun altında kalan sürücü, feci şekilde can verdi.  ",Şiddet Suçları
16,2024-09-10 00:00:00,acıpayam,denizli,Denizli'de Trafik Kazası: Bir Genç Hayatını Kaybetti,"  Denizli Acıpayam'da otomobil, römorka çarptı; bir genç öldü, diğeri ağır yaralandı.  ",Şiddet Suçları
17,2024-07-13 00:00:00,acıpayam,denizli,Denizli'de trafik kazasında motosiklet sürücüsü hayatını kaybetti,"  Denizli'nin Acıpayam ilçesinde meydana gelen trafik kazasında, ana yoldan gelen otomobil, tali yoldan ana yola bağlanmak isteyen motosiklete çarptı. Çarpışmanın etkisiyle yola savrulan motosiklet sürücüsü hayatını kaybetti. Olayla ilgili soruşturma başlatıldı.  ",Şiddet Suçları
22,2024-01-06 00:00:00,acıpayam,denizli,"Deniz Uçkun, yalnız yaşadığı evde çıkan yangında hayatını kaybetti","  Denizlili bir kişi olan Deniz Uçkun, Acıpayam ilçesindeki evinde çıkan yangında hayatını kaybetti. Yangın, saat 03.00 sıralarında başladı ve itfaiye ekiplerinin müdahalesiyle söndürüldü. Evde yapılan incelemede Uçkun'un cesedi bulundu. Yangının çıkış nedeni ise henüz belirlenemedi.  ",Şiddet Suçları
23,2024-02-17 00:00:00,acıpayam,denizli,Denizli'de Komşuları Tarafından Öldürülen Şahin Demirten'in Katili Tutuklandı,"  Denizli'nin Acıpayam ilçesinde yaşanan olayda, komşusu tarafından kaza süsü verilerek öldürülen Şahin Demirten'in katili tutuklandı. Diğer aile üyeleri ise adli kontrol şartıyla serbest bırakıldı. Olayın ardından ortaya çıkan bir fotoğrafta, katil ve kurbanın 20 yıl önce çekilmiş bir fotoğrafı yer aldı.  ",Şiddet Suçları
27,2020-03-09 00:00:00,adaklı,bingöl,Son dakika haber | Bingöl'de terör örgütüne ait malzemeler ele geçirildi,"  Son dakika haberine göre Bingöl'ün Adaklı ilçesi kırsalında jandarma timleri tarafından bölücü terör örgütüne yönelik düzenlenen operasyonda 20 adet tüp, çok sayıda pil ve muhtelif yaşam malzemelerinin ele geçirildiği bildirildi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
40,2024-06-11 00:00:00,adana,adana,Adana'da Uyuşturucu Operasyonu,"  Seyhan'da yapılan operasyonda 1.9 kg kokain ve 12 bin uyuşturucu hap ele geçirildi, 1 kişi gözaltında.  ",Narkotik Suçları
41,2024-06-11 00:00:00,adana,adana,Adana'da Uyuşturucu Operasyonu: Zanlı Tutuklandı,"  Adana'da düzenlenen operasyonda 1.9 kg kokain ve 12.992 hap ele geçirildi, bir kişi tutuklandı.  ",Narkotik Suçları
