,tarih,city,city2,title,content,suc_turu_title,suc_turu_content
0,2021-11-25 00:00:00,abana,kastamonu,Kastamonu'da jandarmadan Öğretmenler Günü ziyaretleri,  Kastamonu'nun Abana ve Bozkurt ilçelerinde jandarma ekipleri 24 Kasım Öğretmenler Günü dolayısıyla okul ziyaretlerinde bulundu.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
1,2024-02-03 00:00:00,abana,kastamonu,Kastamonu'da İsrail saldırılarını kınamak için yürüyüş düzenlendi,  Kastamonu'nun Abana ilçesinde sivil toplum kuruluşlarının öncülüğünde gerçekleştirilen 'Gazze'ye Bin Selam Yürüyüşü'nde İsrail saldırıları kınandı ve Filistin halkına destek gösterildi. Yürüyüşe katılanlar pankartlar açarak İsrail'e tepki gösterdi ve saldırılarda hayatını kaybeden Filistinliler için dua etti.  ,"{
""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""
}","{""suç_türü"": ""Hiçbiri""}"
2,2024-03-17 00:00:00,abana,kastamonu,Abana'da göç yolculuğuna devam eden telli turnalar Ezine Çayı'nda görüntülendi,"  Kastamonu'nun Karadeniz sahilindeki ilçesi Abana üzerinden göç yolculuğunu sürdüren 36 telli turna, Ezine Çayı'nda görüntülendi. Telli turnaların neslinin tükenme tehlikesiyle karşı karşıya olduğuna dikkat çeken doğa fotoğrafçısı Mehmet Şenol, heyecanla süreci takip ettiklerini belirtti.  ","{""suç_türü"": ""Hiçbiri""}","{
  ""suç_türü"": ""Hiçbiri""
}"
3,2023-11-27 00:00:00,abana,kastamonu,"Kastamonu Valisi Dallı, dalgaların hasara yol açtığı ilçelerde incelemede bulundu","  Kastamonu Valisi Meftun Dallı, dalgaların hasara yol açtığı İnebolu, Abana ve Çatalzeytin ilçelerinde incelemede bulundu.  ","{
  ""suç_türü"": ""Hiçbiri""
}","{""suç_türü"": ""Hiçbiri""}"
4,2024-08-21 00:00:00,abana,kastamonu,"Amatör balıkçı denize düştü, boğulmaktan kurtarıldı",  Kastamonu'nun Abana ilçesinde balık tutmak isteyerken denize düşen amatör balıkçı boğulmaktan kurtarılarak hastaneye kaldırıldı.  ,"{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Hiçbiri""}"
5,2021-08-19 00:00:00,abana,kastamonu,Kastamonu'da etkili olan sağanak yağış sonrası cami ve iş yerlerini su bastı,  Kastamonu'da etkili olan sağanak yağış sonrası cami ve iş yerlerini su bastı Sel afetinin yaşandığı Kastamonu'da akşam saatlerinde etkili olan sağanak yağış nedeniyle İnebolu'da cami ve bazı iş yerlerini su bastı.  ,"{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
6,2024-02-01 00:00:00,abana,kastamonu,Kastamonulu balıkçının ağına 11 kilogramlık levrek takıldı,"  Kastamonu'nun Abana ilçesinde bir balıkçı, ağına takılan 11 kilogram ağırlığında levrekle kıyıya döndü.  ","{""suç_türü"": ""Hiçbiri""}","{""suç_türü"": ""Hiçbiri""}"
7,2024-04-18 00:00:00,abana,kastamonu,Abana-Çatalzeytin kara yolu 15 gün süreyle trafiğe kapatıldı,"  Kastamonu'nun Abana ilçesinde heyelan önleme çalışmaları nedeniyle Abana-Çatalzeytin kara yolu 15 gün süreyle araç trafiğine kapatıldı. Karayolları 15. Bölge Müdürlüğü, Yeşilyuva köyünde heyelanın önlenmesi için çalışma başlattı. Çalışmalar süresince Çatalzeytin ile bağlantıyı sağlayan kara yolu da araç geçişine kapatıldı. Sürücülerin alternatif olarak Ortasökü köyünün Isırganlık mevkisini kullanabileceği belirtildi.  ","{""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""}","{""suç_türü"": ""Hiçbiri""}"
8,2020-02-01 00:00:00,acıgöl,nevşehir,Nevşehir'de nakliyeciler kara yolunu trafiğe kapattı,"  Nevşehir'de nakliyeciler, dijital takoğraf uygulamasını protesto etti.  ","{""suç_türü"": ""Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar""}","{""suç_türü"": ""Hiçbiri""}"
9,2020-02-20 00:00:00,acıgöl,nevşehir,"Öğretmenler ""Kadına yönelik şiddete"" dikkat çekmek için kısa film çekti","  Nevşehir'in Acıgöl ilçesinde Rehber Öğretmenler tarafından ""Acıgöl halkı şiddete karşı tek yürek"" kısa filmi çekildi.  ","{""suç_türü"": ""Şiddet Suçları""}","{""suç_türü"": ""Şiddet Suçları""}"
